ID,OBJID,RELATIVE_FRAME,LANE_ID,ORIENTATION,SOLIDITY,AREA,WIDTH,COMPACTNESS_RATIO,ASPECT_RATIO,ECCENTRICITY,CENTROID_X,CENTROID_Y,YOCC,YCLASS
8,10,17,4,0.95319,0.93824,0.36899,0.67241,0.77435,1.1364,0.83221,245.5,197.12,0,2
8,10,18,4,0.97397,0.92969,0.37878,0.66345,0.73888,1.2273,0.79474,245.58,198.33,0,2
8,10,19,4,0.9119,0.93051,0.37589,0.68121,0.77176,1.1304,0.84304,246.09,199.99,0,2
8,10,20,4,0.98883,0.85075,0.39626,0.71496,0.55691,1.2,0.7824,247.54,203.28,0,2
8,10,21,4,0.89918,0.93047,0.36777,0.71076,0.77208,1.04,0.82524,247.77,203.85,0,2
8,10,22,4,0.98247,0.90649,0.37402,0.72958,0.63167,1.0385,0.86719,248.4,205.12,0,2
8,10,23,4,0.99218,0.94379,0.39942,0.69254,0.80746,1.16,0.8158,249.14,206.39,0,2
8,10,24,4,0.98337,0.88047,0.39022,0.73751,0.63482,1.2222,0.82416,249.69,207.79,0,2
8,10,25,4,0.97844,0.88755,0.3888,0.68972,0.64633,1.1923,0.78948,250.51,210.76,0,2
8,10,26,4,0.99313,0.8605,0.39897,0.70451,0.61124,1.2222,0.81018,251.32,212.49,0,2
8,10,27,4,0.95928,0.86011,0.40396,0.76515,0.57568,1.1333,0.78415,252.1,214.91,0,2
8,10,28,4,0.95802,0.87316,0.4146,0.75535,0.62383,1.1667,0.76672,252.84,216.3,0,2
8,10,29,4,0.95364,0.85581,0.42014,0.7427,0.52757,1.2333,0.7728,253.59,218.15,0,2
8,10,30,4,0.97104,0.88664,0.41496,0.71846,0.65764,1.2333,0.80323,254.55,221.89,0,2
9,11,1,2,0.58982,0.90084,0.34821,0.7229,0.70287,0.95455,0.89577,193.56,189.41,0,2
9,11,2,2,0.48903,0.91599,0.36087,0.75153,0.72765,0.95652,0.96339,192.89,189.87,0,2
9,11,3,2,0.71364,0.9297,0.3369,0.70942,0.77145,0.95455,0.87831,192.86,190.96,0,2
9,11,4,2,0.9867,0.91276,0.34539,0.69061,0.69649,1.0909,0.91261,191.81,193.21,0,2
9,11,5,2,0.86776,0.83025,0.39259,0.77981,0.47057,1.08,0.89274,191.64,193.76,0,2
9,11,6,2,0.97655,0.84582,0.37766,0.71118,0.53677,1.1739,0.77151,191.45,194.51,0,2
9,11,7,2,0.87122,0.87542,0.36198,0.67024,0.65049,1.1818,0.80317,190.71,195.8,0,2
9,11,8,2,0.85977,0.84861,0.391,0.7271,0.55329,1.2083,0.83035,190.42,196.29,0,2
9,11,9,2,0.85142,0.8547,0.38649,0.76197,0.50145,1,0.82758,189.6,199.27,0,2
9,11,10,2,0.85142,0.8547,0.38649,0.76197,0.50145,1,0.82758,189.6,199.27,0,2
9,11,11,2,0.88626,0.91472,0.36584,0.71242,0.65625,1.04,0.8665,188.93,201.86,0,2
9,11,12,2,0.76007,0.81223,0.42692,0.85747,0.41928,0.93548,0.89277,188.86,204.69,0,2
9,11,13,2,0.89444,0.85766,0.36533,0.697,0.54888,1.12,0.8375,188.37,203.93,0,2
9,11,14,2,0.89227,0.84804,0.39665,0.72344,0.51367,1.0741,0.87508,187.75,207.81,0,2
9,11,15,2,0.90783,0.8284,0.39972,0.66792,0.47902,1.36,0.77083,187.36,208.1,0,2
9,11,16,2,0.79238,0.89033,0.37976,0.63179,0.64098,1.25,0.82875,187.03,209.59,0,2
9,11,17,2,0.79234,0.83664,0.41869,0.78468,0.41562,1.1333,0.84561,185.87,210.24,0,2
9,11,18,2,0.80233,0.85101,0.41591,0.74277,0.53848,1.1379,0.81244,185.82,212.41,0,2
9,11,19,2,0.94954,0.86876,0.41917,0.69595,0.63354,1.25,0.79472,185.05,215.59,0,2
9,11,20,2,0.93812,0.81995,0.41697,0.78409,0.48572,1.2188,0.78691,184.4,217.13,0,2
9,11,21,2,0.8797,0.89876,0.41933,0.74631,0.66474,1.1613,0.81199,184.41,219.07,0,2
9,11,22,2,0.97556,0.83495,0.40869,0.77895,0.46654,1.1515,0.80124,183.64,221.28,0,2
9,11,23,2,0.81832,0.8601,0.41974,0.70112,0.55933,1.3333,0.74193,183.08,222.41,0,2
10,12,1,4,0.76717,0.94135,0.34111,0.73761,0.85196,0.9375,0.86889,234.66,166.91,0,2
10,12,2,4,0.90688,0.94865,0.36293,0.68213,0.79717,1.0667,0.85108,235.01,167.72,0,2
10,12,3,4,0.86031,0.94247,0.35151,0.6781,0.88382,1.0667,0.89186,235.26,168.08,0,2
10,12,4,4,0.98071,0.92932,0.36098,0.72154,0.83051,1,0.95695,235.3,168.23,0,2
10,12,5,4,0.82028,0.91906,0.3474,0.71085,0.79722,1,0.92354,235.38,169.14,0,2
10,12,6,4,0.64706,0.94264,0.37008,0.75226,0.80671,0.94118,0.8843,235.77,169.39,0,2
10,12,7,4,0.78642,0.93318,0.38023,0.73665,0.79448,1.0588,0.88194,236.01,170.7,0,2
10,12,8,4,0.71585,0.94576,0.37324,0.73348,0.8242,1,0.90725,236.09,170.98,0,2
10,12,9,4,0.71405,0.93018,0.37279,0.76479,0.79132,0.94444,0.88221,236.4,171.96,0,2
10,12,10,4,0.81141,0.93846,0.38194,0.76133,0.82939,0.94444,0.86424,236.88,172.25,0,2
10,12,11,4,0.87419,0.95181,0.34728,0.71286,0.87841,0.94118,0.91656,236.95,172.81,0,2
10,12,12,4,0.86371,0.94203,0.37737,0.7331,0.82809,1,0.88014,237.5,174.75,0,2
10,12,13,4,0.87375,0.91732,0.39023,0.73664,0.75626,1.0556,0.91646,237.44,174.42,0,2
10,12,14,4,0.93465,0.93548,0.37998,0.688,0.84565,1.1176,0.89513,238.16,175.18,0,2
10,12,15,4,0.9188,0.91845,0.37435,0.71614,0.7757,1.1111,0.85856,238.38,176.34,0,2
